"Unknown",\N
"Private flight",""
"1Time Airline","NEXTIME"
"40-Mile Air","MILE-AIR"
"Ansett Australia","ANSETT"
"Abacus International",""
"Aigle Azur","AIGLE AZUR"
"Aloha Airlines","ALOHA"
"American Airlines","AMERICAN"
"Asiana Airlines","ASIANA"
"Askari Aviation","AL-AAS"
"Afriqiyah Airways","AFRIQIYAH"
"Allegiant Air","ALLEGIANT"
"ABSA - Aerolinhas Brasileiras","ABSA Cargo"
"Astral Aviation","ASTRAL CARGO"
"Air Tindi",""
"Ada Air","ADA AIR"
"Adria Airways","ADRIA"
"Air Europa","EUROPA"
"Aero Benin","AEROBEN"
"Aegean Airlines","AEGEAN"
"Air Europe","AIR EUROPE"
"Alaska Central Express","ACE AIR"
"ACES Colombia","ACES"
"Astraeus","FLYSTAR"
"Aerosvit Airlines","AEROSVIT"
"Air Italy","AIR ITALY"
"Alliance Airlines","UNITY"
"Ariana Afghan Airlines","ARIANA"
"Aeroflot Russian Airlines","AEROFLOT"
"Air Bosna","AIR BOSNA"
"Air France","AIRFRANS"
"Air Caledonie International","AIRCALIN"
"Air Salone",""
"Air Cargo Carriers","NIGHT CARGO"
"Air Namibia","NAMIBIA"
"Aerolitoral","COSTERA"
"Air Glaciers","AIR GLACIERS"
"Aviogenex","GENEX"
"Aeroper","Aeroperu"
"Atlas Blue","ATLAS BLUE"
"Azerbaijan Airlines","AZAL"
"Avies","AVIES"
"Airblue","PAKBLUE"
"Airlift International","AIRLIFT"
"Air Berlin","AIR BERLIN"
"Air India Limited","AIRINDIA"
"Air Bourbon","BOURBON"
"Air Atlanta Icelandic","ATLANTA"
"Air Tahiti Nui","TAHITI AIRLINES"
"Arkia Israel Airlines","ARKIA"
"Air Jamaica","JAMAICA"
"Air One","HERON"
"Air Sahara","SAHARA"
"Air Malta","AIR MALTA"
"Air Japan","AIR JAPAN"
"Air Korea Co. Ltd.",""
"Air Kiribati",""
"America West Airlines","CACTUS"
"Air Wisconsin","AIR WISCONSIN"
"Tatarstan Airlines","TATARSTAN"
"Allegheny Commuter Airlines","ALLEGHENY"
"Air Sunshine","AIR SUNSHINE"
"Air Libert",""
"Air Malawi","MALAWI"
"Air Sicilia",""
"ATA Airlines","AMTRAN"
"Air Macau","AIR MACAO"
"AMC Airlines",""
"Air Seychelles","SEYCHELLES"
"AeroMéxico","AEROMEXICO"
"All Nippon Airways","ALL NIPPON"
"Air Nostrum","AIR NOSTRUM"
"Air Niugini","NUIGINI"
"Air Arabia","ARABIA"
"Air Canada","AIR CANADA"
"Air Baltic","AIRBALTIC"
"Air Nippon","ANK AIR"
"Airnorth","TOPEND"
"Air North Charter - Canada","AIR NORTH"
"Air New Zealand","NEW ZEALAND"
"Alitalia Express","ALIEXPRESS"
"Aero Flight","Aero Fox"
"Arrow Air","BIG A"
"Aerocondor","AEROCONDOR"
"Aires"," Aerovias de Integracion Regional"
"Aerolineas Argentinas","ARGENTINA"
"Alaska Airlines"," Inc."
"Air Sinai","AIR SINAI"
"Atlantic Southeast Airlines","ACEY"
"Astrakhan Airlines","AIR ASTRAKHAN"
"Air Tanzania","TANZANIA"
"Air Burkina","BURKINA"
"Airlines Of Tasmania","AIRTAS"
"Air Saint Pierre",""
"Austrian Airlines","AUSTRIAN"
"Air Southwest","SWALLOW"
"Augsburg Airways","AUGSBURG-AIR"
"ATUR",""
"Abu Dhabi Amiri Flight","SULTAN"
"Aeroflot-Nord","DVINA"
"Aurigny Air Services","AYLINE"
"Austral Lineas Aereas","AUSTRAL"
"Avianca - Aerovias Nacionales de Colombia"," S.A."
"Air Vanuatu","AIR VAN"
"Air Bangladesh","AIR BANGLA"
"Air Mediterranee","MEDITERRANEE"
"Air Moorea","AIR MOOREA"
"Aeroline GmbH","SYLT-AIR"
"Air Wales","RED DRAGON"
"Air Caraïbes","FRENCH WEST"
"Air India Express","EXPRESS INDIA"
"Air Exel","EXEL COMMUTER"
"AirAsia","ASIAN EXPRESS"
"Atlant-Soyuz Airlines","ATLANT-SOYUZ"
"Alitalia","ALITALIA"
"Amaszonas",""
"Air Zimbabwe","AIR ZIMBABWE"
"Aserca Airlines","AROSCA"
"Rossiya-Russian Airlines","PULKOVO"
"American Eagle Airlines","EAGLE FLIGHT"
"AD Aviation","FLIGHTVUE"
"Air Ivoire","AIRIVOIRE"
"Air Botswana","BOTSWANA"
"Air Foyle","FOYLE"
"Air Tahiti","AIR TAHITI"
"Air VIA",""
"Africa West","WEST TOGO"
"ATRAN Cargo Airlines","ATRAN"
"Air China","AIR CHINA"
"Aero Condor Peru","CONDOR-PERU"
"Air Chathams","CHATHAM"
"Air Marshall Islands","AIR MARSHALLS"
"Access Air","CYCLONE"
"Air Algerie","AIR ALGERIE"
"Adam Air","ADAM SKY"
"Air Dolomiti","DOLOMOTI"
"Aeroflot-Don","DONAVIA"
"Air Madrid","ALADA AIR"
"Aer Lingus","SHAMROCK"
"Air Finland","AIR FINLAND"
"Airfix Aviation","AIRFIX"
"Air Pacific","PACIFIC"
"Atlantic Airways","FAROELINE"
"Air Florida","AIR FLORIDA"
"Air Iceland","FAXI"
"Air Philippines","ORIENT PACIFIC"
"Air Guinee Express","FUTURE EXPRESS"
"Air Greenland","GREENLAND"
"Atlas Air","GIANT"
"Air Guyane","GREEN BIRD"
